,Date,User,text
0,2023-01-30 17:46:17+00:00,BizzBuzzNews,"As boom bubble bursts, techies hope layoff crisis shall pass too #layoffs #Wipro #AmritaChandan https://t.co/8Ah040kEHb"
1,2023-01-29 12:09:19+00:00,prabhonik,"Companies speak about Ethics, Work Culture, Employee friendliness, job security. All these are true in PPT slides. 

A true leader, a great company shows it with their actions during the worse phase. Respect for Tata group and Tim Cook.

#layoffs #layoff #tata #tcs #apple"
2,2023-01-29 09:19:50+00:00,SusanChubb1,"@JohnWest_JAWS @nadhimzahawi Waiting for the Sharp resignation; BBC directors resignation, Simon Case: ditto: Sunak . Out you go; #Infosys #HMRCExcluded #NonDonSunak #HMRCLoanChargeScandal Sunak."
3,2023-01-27 02:35:26+00:00,KomalSecurities,"In coming quarters #HCL #TechMahindra #Wipro #Infosys  margins will improve as they fired employees to meet there cost cutting targets.

So bounce back expected into there stock prices in coming next 2-3 quaters (max. time).

#Komalsecurities #StockMarket #Investing #Equity #Nse."
4,2023-01-27 00:35:35+00:00,Nimma_santhosh,400+ freshers have been fired from @WiproCareers think about the freshers who wanted to build their dream. If you want to minimize the cut cost then fire top executives #layoffs #wipro
5,2023-01-24 17:17:13+00:00,PadmajaPawar,"Hoping this doesn't have a negative effect on jobs in India.😐

#layoffs #layoff #Firing #googlelayoffs #wiproOnboardus2022 #WiproLayoffs #meta #SpotifyWrapped
#job #security #loyalty #twitterlayoff #Amazon
#layoffs2023 #google #swiggy #Wipro #futureofwork #Microsoftlayoffs https://t.co/hLOPXF4ork"
6,2023-01-24 15:25:21+00:00,fintrekk,"#Wipro found employees taking advantage of remote working and do moonlighting. As a result the company from Oct'22 has asked its employees to work from offices three days a week as even clients ask for full attendance.

https://t.co/170GqSBPsz"
7,2023-01-24 15:11:11+00:00,Yajanth,"Wipro has fired 452 freshers due to their poor performance after an internal test.

Internal tests are usually based on the Technologies on which Training is done.
#freshers #wipro #training #recession https://t.co/vCk318cYiB"
8,2023-01-24 10:47:56+00:00,raviagarwal108,"PE value of #Infosys #TCS #HCLTech are historic high compare to average PE. first cut in any organization happens is on IT &amp; new software development budget when they have recession talks going on. Gain in nasdaq is from very low not our Indian IT low.
Attrition = slowdown, sold https://t.co/qFJ6ffD5yo"
9,2023-01-24 10:46:31+00:00,umakannann,"#wipro  layoff: Employee union writes to govt seeking action 
#layoffs2023 
@Dipak_Journo 
https://t.co/CqgEsWWnkO via @NewIndianXpress"
